data_pedido,data_envio,modo_envio,vendas,lucro,quantidade,desconto,categoria,subcategoria,segmento,regiao,cliente_id,pedido_id
2016-11-08,2016-11-11,Second Class,261.96,41.9136,2,0.0,Furniture,Bookcases,Consumer,South,CG-12520,CA-2016-152156
2016-11-08,2016-11-11,Second Class,731.9399999999999,219.58199999999997,3,0.0,Furniture,Chairs,Consumer,South,CG-12520,CA-2016-152156
2016-06-12,2016-06-16,Second Class,14.62,6.8713999999999995,2,0.0,Office Supplies,Labels,Corporate,West,DV-13045,CA-2016-138688
2015-10-11,2015-10-18,Standard Class,957.5775,-383.03100000000006,5,0.45,Furniture,Tables,Consumer,South,SO-20335,US-2015-108966
2015-10-11,2015-10-18,Standard Class,22.368000000000002,2.516399999999999,2,0.2,Office Supplies,Storage,Consumer,South,SO-20335,US-2015-108966
2014-06-09,2014-06-14,Standard Class,48.86,14.169399999999996,7,0.0,Furniture,Furnishings,Consumer,West,BH-11710,CA-2014-115812
2014-06-09,2014-06-14,Standard Class,7.28,1.9656000000000002,4,0.0,Office Supplies,Art,Consumer,West,BH-11710,CA-2014-115812
2014-06-09,2014-06-14,Standard Class,907.152,90.71520000000004,6,0.2,Technology,Phones,Consumer,West,BH-11710,CA-2014-115812
2014-06-09,2014-06-14,Standard Class,18.504,5.7825,3,0.2,Office Supplies,Binders,Consumer,West,BH-11710,CA-2014-115812
2014-06-09,2014-06-14,Standard Class,114.9,34.46999999999999,5,0.0,Office Supplies,Appliances,Consumer,West,BH-11710,CA-2014-115812
2014-06-09,2014-06-14,Standard Class,1706.1840000000002,85.3091999999998,9,0.2,Furniture,Tables,Consumer,West,BH-11710,CA-2014-115812
2014-06-09,2014-06-14,Standard Class,911.424,68.35680000000002,4,0.2,Technology,Phones,Consumer,West,BH-11710,CA-2014-115812
2017-04-15,2017-04-20,Standard Class,15.552000000000003,5.4432,3,0.2,Office Supplies,Paper,Consumer,South,AA-10480,CA-2017-114412
2016-12-05,2016-12-10,Standard Class,407.97600000000006,132.59219999999993,3,0.2,Office Supplies,Binders,Consumer,West,IM-15070,CA-2016-161389
2015-11-22,2015-11-26,Standard Class,68.80999999999999,-123.858,5,0.8,Office Supplies,Appliances,Home Office,Central,HP-14815,US-2015-118983
2015-11-22,2015-11-26,Standard Class,2.5439999999999996,-3.8160000000000016,3,0.8,Office Supplies,Binders,Home Office,Central,HP-14815,US-2015-118983
2014-11-11,2014-11-18,Standard Class,665.88,13.317599999999999,6,0.0,Office Supplies,Storage,Consumer,Central,PK-19075,CA-2014-105893
2014-05-13,2014-05-15,Second Class,55.5,9.989999999999995,2,0.0,Office Supplies,Storage,Consumer,West,AG-10270,CA-2014-167164
2014-08-27,2014-09-01,Second Class,8.56,2.4823999999999993,2,0.0,Office Supplies,Art,Consumer,West,ZD-21925,CA-2014-143336
2014-08-27,2014-09-01,Second Class,213.48000000000002,16.01099999999998,3,0.2,Technology,Phones,Consumer,West,ZD-21925,CA-2014-143336
2014-08-27,2014-09-01,Second Class,22.72,7.383999999999999,4,0.2,Office Supplies,Binders,Consumer,West,ZD-21925,CA-2014-143336
2016-12-09,2016-12-13,Standard Class,19.459999999999997,5.0596,7,0.0,Office Supplies,Art,Corporate,Central,KB-16585,CA-2016-137330
2016-12-09,2016-12-13,Standard Class,60.339999999999996,15.688400000000001,7,0.0,Office Supplies,Appliances,Corporate,Central,KB-16585,CA-2016-137330
2017-07-16,2017-07-18,Second Class,71.37199999999999,-1.0196000000000005,2,0.3,Furniture,Chairs,Consumer,East,SF-20065,US-2017-156909
